Accident_Date,Accident_Time,Location,Accident_Location,Classification_of_Accident,Initial_Impact_Type,Environment_Condition,Light,Road_Surface_Condition,Traffic_Control,Traffic_Control_Condition,No__of_Vehicles,No__of_Bicycles,No__of_Motorcycles,No__of_Pedestrians,Max_Injury,No__of_Injuries,No__of_Minimal,No__of_Minor,No__of_Major,No__of_Fatal,Latitude,Longitude
2020-01-23,11:10 AM,REGIONAL ROAD 174 btwn OR174 IC105 RAMP63 & OR174 IC102 RAMP36 (__3ZA27F),01 - Non intersection,03 - P.D. only,99 - Other,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,2,0,0,0,,0,,,,,45.47369417,-75.53433785
2020-01-04,12:48 PM,ROSEHILL AVE @ HUNTMAR DR (0010609),03 - At intersection,03 - P.D. only,02 - Angle,03 - Snow,01 - Daylight,02 - Wet,11 - Roundabout,01 - Functioning,2,0,0,0,,0,,,,,45.2865955,-75.91742125
2020-01-23,11:16 AM,GREENBANK RD @ IRIS ST/HWY 417 IC129 RAMP51 (0009073),02 - Intersection related,03 - P.D. only,04 - Sideswipe,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,45.34754431,-75.78878635
2020-01-23,11:30 AM,BELFAST RD @ ST. LAURENT BLVD (0007658),02 - Intersection related,03 - P.D. only,04 - Sideswipe,03 - Snow,01 - Daylight,02 - Wet,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,45.41183353,-75.63045993
2020-01-23,11:55 AM,HIGHWAY 417 btwn HIGHWAY 417 & HWY417 IC115 RAMP25 (__3ZA2RX),01 - Non intersection,02 - Non-fatal injury,99 - Other,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,2,0,0,0,01 - Minimal,1,1,,,,45.42034082,-75.63328492
2020-01-23,Unknown,BELMONT AVE btwn RIVERDALE AVE & BRISTOL AVE (__3ZBO0S),01 - Non intersection,03 - P.D. only,06 - SMV unattended vehicle,01 - Clear,00 - Unknown,03 - Loose snow,10 - No control,,1,0,0,0,,0,,,,,45.39516135,-75.67615252
2020-01-23,Unknown,CUMBERLAND ST btwn LAURIER AVE E & Continuation of CUMBERLAND ST (__5G15JW),01 - Non intersection,03 - P.D. only,06 - SMV unattended vehicle,01 - Clear,00 - Unknown,04 - Slush,10 - No control,,1,0,0,0,,0,,,,,45.42431287,-75.68453164
2020-01-23,Unknown,LOKOYA ST btwn AMICI TERR & ARRITA ST (__6OD7BS),01 - Non intersection,03 - P.D. only,06 - SMV unattended vehicle,01 - Clear,00 - Unknown,05 - Packed snow,10 - No control,,1,0,0,0,,0,,,,,45.27504116,-75.86413446
2020-01-23,Unknown,WOODVIEW CRES btwn SOUTHPARK DR & SOUTHPARK DR (__3ZA7L7),01 - Non intersection,03 - P.D. only,06 - SMV unattended vehicle,01 - Clear,00 - Unknown,04 - Slush,10 - No control,,1,0,0,0,,0,,,,,45.43189538,-75.57245655
2020-01-23,12:07 PM,PAUL ANKA DR btwn UPLANDS DR & MCCARTHY RD (__3ZA9CH),04 - At/near private drive,03 - P.D. only,05 - Turning movement,01 - Clear,01 - Daylight,02 - Wet,10 - No control,,2,0,0,0,,0,,,,,45.35117059,-75.67248925
2020-01-23,12:50 PM,HIGHWAY 417 btwn HWY417 IC117 RAMP61 & HWY417 IC115 RAMP36 (__3ZA2RZ),01 - Non intersection,03 - P.D. only,04 - Sideswipe,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,2,0,0,0,,0,,,,,45.41974585,-75.6441613
2020-01-23,12:57 PM,INNES RD @ 473 E OF PAGE RD/BUILDERS' WAREHOUS (0009781),03 - At intersection,02 - Non-fatal injury,07 - SMV other,01 - Clear,01 - Daylight,02 - Wet,01 - Traffic signal,01 - Functioning,1,0,0,1,02 - Minor,1,,1,,,45.44877602,-75.52199013
2020-01-04,12:49 PM,HAZELDEAN RD btwn EDGEWATER ST & YOUNG RD (__3ZA3DM),01 - Non intersection,03 - P.D. only,03 - Rear end,02 - Rain,01 - Daylight,04 - Slush,10 - No control,,2,0,0,0,,0,,,,,45.29519805,-75.89300186
2020-01-23,2:08 PM,BENDING WAY @ GREENBANK RD (0018428),03 - At intersection,03 - P.D. only,99 - Other,01 - Clear,01 - Daylight,02 - Wet,02 - Stop sign,00 - Unknown,2,0,0,0,,0,,,,,45.26108585,-75.74081616
2020-01-23,2:15 PM,HARDING RD @ WALKLEY RD (0007652),03 - At intersection,03 - P.D. only,05 - Turning movement,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,45.38508229,-75.62719229
2020-01-23,2:20 PM,HUNT CLUB RD btwn RIVERSIDE DR & LINDBERGH PRIV (__4B3PLN),01 - Non intersection,02 - Non-fatal injury,03 - Rear end,01 - Clear,01 - Daylight,05 - Packed snow,10 - No control,,2,0,0,0,01 - Minimal,1,1,,,,45.33536125,-75.69115853
2020-01-23,2:26 PM,FERNBANK RD @ ROBERT GRANT AVE (0014442),03 - At intersection,03 - P.D. only,02 - Angle,01 - Clear,01 - Daylight,03 - Loose snow,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,45.26435149,-75.88519424
2020-01-23,2:30 PM,HIGHWAY 417 btwn HWY417 IC123 RAMP62 & HWY417 IC122 RAMP16 (__3ZA2R9),01 - Non intersection,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,2,0,0,0,,0,,,,,45.3914416,-75.7329041
2020-01-23,2:59 PM,"EGLISE, RUE DE L @ MONTREAL RD (0011441)",02 - Intersection related,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,45.43948471,-75.65180341
2020-01-23,3:15 PM,MAPLE GROVE RD @ TERRY FOX DR (0003177),02 - Intersection related,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,45.29917767,-75.90386271
2020-01-23,3:59 PM,VANIER PKWY SB btwn DONALD ST & QUEEN MARY ST (__3ZA25W),01 - Non intersection,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,02 - Wet,10 - No control,,2,0,0,0,,0,,,,,45.42710991,-75.66292715
2020-01-23,4:10 PM,PRINCE OF WALES DR @ WEST HUNT CLUB RD (0000567),02 - Intersection related,03 - P.D. only,03 - Rear end,01 - Clear,05 - Dusk,02 - Wet,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,45.33417398,-75.70057066
2020-01-23,4:10 PM,LYON ST @ FLORENCE ST (0007250),02 - Intersection related,03 - P.D. only,99 - Other,01 - Clear,01 - Daylight,01 - Dry,02 - Stop sign,01 - Functioning,2,0,0,0,,0,,,,,45.41098097,-75.6984275
2020-01-04,12:52 PM,DONALD ST @ ST. LAURENT BLVD (0008630),03 - At intersection,03 - P.D. only,05 - Turning movement,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,45.42894914,-75.63999939
2020-01-23,4:22 PM,RIVERSIDE DR btwn HERON RD & HOG'S BACK RD (__3ZA379),01 - Non intersection,02 - Non-fatal injury,04 - Sideswipe,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,2,0,0,0,02 - Minor,1,,1,,,45.37326119,-75.69099518
2020-01-23,4:47 PM,HIGHWAY 7 btwn ASHTON STATION RD & OVERPASS RD (__3ZA2QE),01 - Non intersection,03 - P.D. only,03 - Rear end,01 - Clear,05 - Dusk,01 - Dry,10 - No control,,2,0,0,0,,0,,,,,45.17426817,-76.04962718
2020-01-23,5:10 PM,HIGHWAY 417 btwn HWY417 IC119A RAMP75 & HWY417 IC118 RAMP57 (__3ZA2R2),01 - Non intersection,02 - Non-fatal injury,03 - Rear end,01 - Clear,05 - Dusk,01 - Dry,10 - No control,,3,0,0,0,01 - Minimal,1,1,,,,45.41246943,-75.68261636
2020-01-23,5:14 PM,REGIONAL ROAD 174 EB btwn OR174 IC109 RAMP55 & TRANSIT (__3ZA28V),01 - Non intersection,03 - P.D. only,03 - Rear end,01 - Clear,05 - Dusk,02 - Wet,10 - No control,,2,0,0,0,,0,,,,,45.45247732,-75.58281341
2020-01-23,5:20 PM,BRONSON AVE @ SUNNYSIDE AVE/UNIVERSITY RD - CA (0007209),02 - Intersection related,03 - P.D. only,03 - Rear end,01 - Clear,05 - Dusk,02 - Wet,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,45.38991891,-75.69385945
2020-01-23,5:40 PM,MONTREAL RD @ VANIER PKWY (0004630),02 - Intersection related,03 - P.D. only,04 - Sideswipe,01 - Clear,07 - Dark,01 - Dry,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,45.43447639,-75.66574617
2020-01-23,5:45 PM,CORKERY RD btwn MARCH RD & MANION RD (__3ZACCH),01 - Non intersection,03 - P.D. only,07 - SMV other,01 - Clear,07 - Dark,01 - Dry,10 - No control,,1,0,0,0,,0,,,,,45.25968055,-76.069294
2020-01-23,5:45 PM,WELLINGTON ST    W btwn ROSEMOUNT AVE & STIRLING AVE (__3ZBN9N),01 - Non intersection,03 - P.D. only,06 - SMV unattended vehicle,01 - Clear,07 - Dark,01 - Dry,10 - No control,,1,0,0,0,,0,,,,,45.40239675,-75.72616078
2020-01-23,5:49 PM,HERON RD EB btwn HERON RD EB ON RAMP/VINCENT MASSEY PARK & RIVERSIDE D (__3ZA37D),01 - Non intersection,03 - P.D. only,03 - Rear end,01 - Clear,07 - Dark,01 - Dry,10 - No control,,3,0,0,0,,0,,,,,45.37667008,-75.69279833
2020-01-23,6:03 AM,PARKDALE AVE @ WELLINGTON ST (0002260),03 - At intersection,03 - P.D. only,05 - Turning movement,01 - Clear,07 - Dark,02 - Wet,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,45.4007718,-75.72912608
2020-01-04,2:12 PM,BASELINE RD @ GREENBANK RD (0002357),02 - Intersection related,03 - P.D. only,03 - Rear end,03 - Snow,01 - Daylight,02 - Wet,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,45.34098861,-75.7880217
2020-01-23,6:20 PM,EARL ARMSTRONG RD @ RIVER RD (0012470),02 - Intersection related,02 - Non-fatal injury,03 - Rear end,01 - Clear,07 - Dark,02 - Wet,01 - Traffic signal,01 - Functioning,2,0,0,0,02 - Minor,1,,1,,,45.2693151,-75.70002881
2020-01-23,6:45 PM,CARLING AVE @ KIRKWOOD AVE S (0002209),03 - At intersection,03 - P.D. only,02 - Angle,01 - Clear,07 - Dark,02 - Wet,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,45.38344727,-75.73955168
2020-01-23,6:47 AM,RIVERSIDE DR btwn HOG'S BACK RD & RIDGEWOOD AVE (__3ZA372),01 - Non intersection,02 - Non-fatal injury,03 - Rear end,01 - Clear,07 - Dark,02 - Wet,10 - No control,,2,0,0,0,02 - Minor,1,,1,,,45.37218573,-75.69084063
2020-01-23,6:54 PM,HUNT CLUB RD @ UPLANDS DR (0010844),03 - At intersection,03 - P.D. only,05 - Turning movement,01 - Clear,07 - Dark,01 - Dry,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,45.34499489,-75.66598918
2020-01-23,7:10 AM,CYRVILLE RD @ OGILVIE RD (0003554),02 - Intersection related,03 - P.D. only,04 - Sideswipe,03 - Snow,03 - Dawn,03 - Loose snow,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,45.42471226,-75.63546331
2020-01-23,7:23 PM,MEADOWLANDS DR btwn CHESTERTON DR & TIVERTON DR (__3ZA4H3),01 - Non intersection,02 - Non-fatal injury,06 - SMV unattended vehicle,01 - Clear,07 - Dark,01 - Dry,10 - No control,,1,0,0,0,01 - Minimal,1,1,,,,45.35600616,-75.7292249
2020-01-23,8:03 PM,HAZELDEAN RD @ TERRY FOX DR (0003682),02 - Intersection related,03 - P.D. only,03 - Rear end,01 - Clear,07 - Dark,01 - Dry,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,45.29353683,-75.8955837
2020-01-23,8:24 AM,MONTREAL RD btwn BETHAMY LANE & OGILVIE RD (__3ZA2DX),04 - At/near private drive,03 - P.D. only,02 - Angle,01 - Clear,01 - Daylight,02 - Wet,10 - No control,,2,0,0,0,,0,,,,,45.44659461,-75.5958984
2020-01-23,8:53 PM,HERON RD @ BAYCREST DR (0007191),02 - Intersection related,03 - P.D. only,04 - Sideswipe,01 - Clear,07 - Dark,03 - Loose snow,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,45.3796158,-75.65287773
2020-01-23,8:56 AM,DES EPINETTES AVE @ JEANNE D'ARC BLVD (0004221),03 - At intersection,02 - Non-fatal injury,07 - SMV other,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,1,0,0,1,02 - Minor,1,,1,,,45.45926486,-75.50997074
2020-01-04,3:10 AM,EARL MULLIGAN DR @ WOODROFFE AVE (0000591),02 - Intersection related,03 - P.D. only,07 - SMV other,01 - Clear,07 - Dark,01 - Dry,01 - Traffic signal,01 - Functioning,1,0,0,0,,0,,,,,45.29491138,-75.72927409
2020-01-23,9:06 PM,WOODROFFE AVE btwn GEORGINA DR & HWY417 IC127 RAMP36 (__3ZA4L6),01 - Non intersection,02 - Non-fatal injury,05 - Turning movement,01 - Clear,07 - Dark,02 - Wet,10 - No control,,3,0,0,0,02 - Minor,1,,1,,,45.36352927,-75.76960953
2020-01-24,1:00 PM,FALLOWFIELD RD @ RICHMOND RD (0000634),02 - Intersection related,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,45.2597326,-75.82568404
2020-01-24,1:05 PM,BARNSDALE RD @ PRINCE OF WALES DR (0001082),03 - At intersection,02 - Non-fatal injury,02 - Angle,01 - Clear,01 - Daylight,01 - Dry,02 - Stop sign,01 - Functioning,2,0,0,0,02 - Minor,1,,1,,,45.24103574,-75.712221
2020-01-24,1:06 PM,ST. LAURENT BLVD btwn THURSTON DR & WALKLEY RD (__3ZA7QN),04 - At/near private drive,03 - P.D. only,02 - Angle,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,2,0,0,0,,0,,,,,45.38439064,-75.61907796
2020-01-24,1:24 PM,PRINCE OF WALES DR btwn GREENBANK RD & BARNSDALE RD (__3ZA296),04 - At/near private drive,03 - P.D. only,02 - Angle,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,2,0,0,0,,0,,,,,45.24044687,-75.71225876
2020-01-24,1:30 PM,HIGHWAY 417 btwn HWY417 IC112 RAMP64 & HIGHWAY 417 (__3ZA2U1),01 - Non intersection,03 - P.D. only,04 - Sideswipe,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,2,0,0,0,,0,,,,,45.41269496,-75.60327613
2020-01-24,1:33 PM,CARP RD @ STITTSVILLE MAIN ST (0005253),03 - At intersection,03 - P.D. only,05 - Turning movement,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,45.26750727,-75.93004867
2020-01-24,1:44 PM,ST. LAURENT BLVD btwn CONROY RD & THURSTON DR (__3ZA49E),01 - Non intersection,03 - P.D. only,04 - Sideswipe,01 - Clear,01 - Daylight,02 - Wet,10 - No control,,2,0,0,0,,0,,,,,45.38383376,-75.62088737
2020-01-24,10:12 PM,INDUSTRIAL AVE/INNES RD @ ST. LAURENT BLVD (0002203),02 - Intersection related,03 - P.D. only,03 - Rear end,01 - Clear,07 - Dark,01 - Dry,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,45.40665465,-75.62748592
2020-01-24,10:17 AM,HWY417 IC118 RAMP35 btwn HWY417 IC118 RAMP45 & MANN AVE OVERPASS (__3ZAYAW),01 - Non intersection,03 - P.D. only,99 - Other,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,2,0,0,0,,0,,,,,45.41674721,-75.67416067
2020-01-04,3:20 PM,BAYSHORE DR btwn WOODRIDGE CRES S & BAYSHORE CS (__3ZAA4OB),04 - At/near private drive,03 - P.D. only,02 - Angle,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,2,0,0,0,,0,,,,,45.35006903,-75.80590221
2020-01-24,10:19 AM,NICHOLAS ST SB btwn Continuation of WALLER ST & HWY417 IC118 RAMP35 (__6KCDVW),01 - Non intersection,03 - P.D. only,04 - Sideswipe,01 - Clear,01 - Daylight,02 - Wet,10 - No control,,2,0,0,0,,0,,,,,45.41855888,-75.67821141
2020-01-24,10:52 AM,HIGHWAY 417 btwn HWY417 IC121A RAMP51 & HWY417 IC120A RAMP52 (__3ZA2R6),01 - Non intersection,03 - P.D. only,99 - Other,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,3,0,0,0,,0,,,,,45.40478035,-75.70194564
2020-01-24,11:00 AM,RIVERSIDE DR @ HERON RD (0002236),02 - Intersection related,03 - P.D. only,04 - Sideswipe,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,00 - Unknown,2,0,0,0,,0,,,,,45.37690523,-75.69151126
2020-01-24,11:29 AM,MACLAREN ST btwn BANK ST & O'CONNOR ST (__3ZA9T0),01 - Non intersection,03 - P.D. only,06 - SMV unattended vehicle,01 - Clear,01 - Daylight,03 - Loose snow,10 - No control,,1,0,0,0,,0,,,,,45.41539517,-75.69416721
2020-01-24,11:35 AM,RIVERSIDE DR btwn KIMBERWICK CRES & MALHOTRA CRT (__3ZA1KW),04 - At/near private drive,03 - P.D. only,02 - Angle,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,2,0,0,0,,0,,,,,45.34255761,-75.69102163
2020-01-24,11:55 PM,BARNSDALE RD @ PRINCE OF WALES DR (0001082),03 - At intersection,03 - P.D. only,02 - Angle,01 - Clear,07 - Dark,01 - Dry,02 - Stop sign,01 - Functioning,2,0,0,0,,0,,,,,45.24103572,-75.71222106
2020-01-24,Unknown,GILMOUR ST btwn SALISBURY PL & DRIVEWAY (THE) (__3ZA4FA),01 - Non intersection,03 - P.D. only,06 - SMV unattended vehicle,01 - Clear,00 - Unknown,01 - Dry,10 - No control,,1,0,0,0,,0,,,,,45.41873306,-75.68413744
2020-01-24,Unknown,GLADSTONE AVE btwn KENT ST & BANK ST (__3ZA3PA),01 - Non intersection,03 - P.D. only,06 - SMV unattended vehicle,01 - Clear,00 - Unknown,02 - Wet,10 - No control,,1,0,0,0,,0,,,,,45.41149418,-75.69521759
2020-01-24,12:01 PM,COOLBROOK CRES btwn OWLSHEAD RD & OWLSHEAD RD (__3ZACTO),04 - At/near private drive,03 - P.D. only,06 - SMV unattended vehicle,01 - Clear,01 - Daylight,04 - Slush,10 - No control,,1,0,0,0,,0,,,,,45.16549406,-75.94350475
2020-01-24,12:34 AM,BASELINE RD btwn COLLEGE SQUARE SC & WOODROFFE AVE (__3ZAZDQA),01 - Non intersection,03 - P.D. only,04 - Sideswipe,01 - Clear,07 - Dark,01 - Dry,10 - No control,,2,0,0,0,,0,,,,,45.35172094,-75.7624182
2020-01-04,3:45 PM,BOOTH ST @ SOMERSET ST (0002216),02 - Intersection related,03 - P.D. only,03 - Rear end,03 - Snow,01 - Daylight,02 - Wet,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,45.40949983,-75.7105727
2020-01-24,12:37 PM,METCALFE ST btwn WELLINGTON ST & SPARKS ST (__3ZA352),01 - Non intersection,03 - P.D. only,06 - SMV unattended vehicle,01 - Clear,01 - Daylight,02 - Wet,10 - No control,,1,0,0,0,,0,,,,,45.42329245,-75.6977906
2020-01-24,12:57 PM,MONTREAL RD btwn ST. LAURENT BLVD & HILLSIDE DR (__3ZA1MC),01 - Non intersection,03 - P.D. only,04 - Sideswipe,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,2,0,0,0,,0,,,,,45.44168541,-75.6450557
2020-01-24,2:04 PM,CROYDON AVE @ REGINA ST (0002786),02 - Intersection related,03 - P.D. only,99 - Other,01 - Clear,01 - Daylight,03 - Loose snow,02 - Stop sign,01 - Functioning,2,0,0,0,,0,,,,,45.36628708,-75.78995113
2020-01-24,2:05 PM,MERIVALE RD/LOTTA AVE @ CLYDE AVE (0001112),02 - Intersection related,03 - P.D. only,04 - Sideswipe,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,45.35796877,-75.7377232
2020-01-24,2:25 PM,MONTREAL RD btwn BETHAMY LANE & OGILVIE RD (__3ZA2DX),01 - Non intersection,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,2,0,0,0,,0,,,,,45.44714463,-75.59465555
2020-01-24,2:30 AM,MONACO PL btwn SELENE WAY & SELENE WAY (__5Z1QC6),01 - Non intersection,03 - P.D. only,06 - SMV unattended vehicle,01 - Clear,07 - Dark,04 - Slush,10 - No control,,1,0,0,0,,0,,,,,45.45035689,-75.47931022
2020-01-24,2:30 PM,LOLA ST @ QUEEN MARY ST (0007957),02 - Intersection related,03 - P.D. only,99 - Other,01 - Clear,01 - Daylight,01 - Dry,02 - Stop sign,01 - Functioning,2,0,0,0,,0,,,,,45.4251903,-75.65237522
2020-01-24,2:51 PM,HIGHWAY 417 btwn HWY417 IC122 RAMP61 & HWY417 IC121B RAMP16 (__3ZA2Y4),01 - Non intersection,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,2,0,0,0,,0,,,,,45.39941358,-75.72248677
2020-01-24,2:55 AM,REGIONAL ROAD 174 btwn Continuation of REGIONAL ROAD 174 & OR174 IC112 (__3ZA2YI),01 - Non intersection,03 - P.D. only,07 - SMV other,01 - Clear,07 - Dark,02 - Wet,10 - No control,,1,0,0,0,,0,,,,,45.4292081,-75.61083815
2020-01-24,3:05 PM,INDUSTRIAL AVE/INNES RD @ ST. LAURENT BLVD (0002203),02 - Intersection related,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,02 - Wet,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,45.40665457,-75.627486
2020-01-04,3:49 AM,WOODROFFE AVE btwn FALLOWFIELD RD & EARL MULLIGAN DR (__3ZA3IL),04 - At/near private drive,03 - P.D. only,07 - SMV other,01 - Clear,07 - Dark,02 - Wet,10 - No control,,1,0,0,0,,0,,,,,45.29781093,-75.73093571
2020-01-24,3:40 PM,ALBERT ST @ BAY ST (0006357),03 - At intersection,02 - Non-fatal injury,02 - Angle,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0,0,0,01 - Minimal,1,1,,,,45.41746786,-75.70598944
2020-01-24,4:00 PM,BALSAM ST btwn PRESTON ST & END (__3ZAAIB),01 - Non intersection,03 - P.D. only,06 - SMV unattended vehicle,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,1,0,0,0,,0,,,,,45.40526749,-75.71254481
2020-01-24,4:15 PM,SOMERSET ST    W btwn SPADINA AVE & BAYSWATER AVE (__3ZA319),01 - Non intersection,03 - P.D. only,06 - SMV unattended vehicle,03 - Snow,01 - Daylight,04 - Slush,10 - No control,,1,0,0,0,,0,,,,,45.40626851,-75.72133295
2020-01-24,4:30 PM,BLAIR RD btwn BEAVERPOND DR & INNES RD (__3ZA2EZ),01 - Non intersection,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,01 - Dry,10 - No control,,2,0,0,0,,0,,,,,45.42102013,-75.59655373
2020-01-24,5:00 PM,BRONSON AVE/BRONSON/HERON RAMP 35 @ HERON RD (0002386),02 - Intersection related,03 - P.D. only,03 - Rear end,01 - Clear,05 - Dusk,01 - Dry,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,45.37730972,-75.68486292
